Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Regarding SingularityNET and the Recent KuCoin Hack;NaN;1;Ben Goertzel;SingularityNET;2020;10;1;Artificial-Intelligence;8;320;0;https://blog.singularitynet.io/regarding-singularitynet-and-the-recent-kucoin-hack-fee601b8ad8c?source=tag_archive---------0-----------------------;https://blog.singularitynet.io/@ben_90344?source=tag_archive---------0-----------------------
Deep Learning Projects with fastaiFrom Model Training to Deployment;A getting started guide to;1;Harshit Tyagi;Towards Data Science;2020;10;1;Artificial-Intelligence;10;500;0;https://towardsdatascience.com/deep-learning-projects-with-fastai-from-model-training-to-deployment-2be3135bd757?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@harshit-tyagi?source=tag_archive---------1-----------------------
NaN;TLDR: Neural networks have;1;Ygor Rebou as Serpa;Towards Data Science;2020;10;1;Artificial-Intelligence;7;177;0;https://towardsdatascience.com/why-is-object-detection-so-messy-6a91191579b8?source=tag_archive---------2-----------------------;https://towardsdatascience.com/@ygorrebouasserpa?source=tag_archive---------2-----------------------
Hyperparameter Tuning to Reduce OverfittingLightGBM;Demonstrated with examples;1;Soner Y ld r m;Towards Data Science;2020;10;1;Artificial-Intelligence;5;55;0;https://towardsdatascience.com/hyperparameter-tuning-to-reduce-overfitting-lightgbm-5eb81a0b464e?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@sonery?source=tag_archive---------3-----------------------
The End of the World;Below is a conversation I had with OpenAIs GPT-3s language model. I gave GPT-3 the role of Wise Being. All of the;1;Kirk Ouimet;NaN;2020;10;1;Artificial-Intelligence;5;60;0;https://medium.com/@kirkouimet/the-end-of-the-world-5457c252523?source=tag_archive---------4-----------------------;https://medium.com/@kirkouimet?source=tag_archive---------4-----------------------
Master `plt.annotate()` to take your plots to the next level;God help anyone who reads Matplotlib;1;Bex T.;Towards Data Science;2020;10;1;Artificial-Intelligence;9;28;0;https://towardsdatascience.com/finally-learn-to-annotate-place-text-in-any-part-of-the-plot-d9bcc93c153f?source=tag_archive---------5-----------------------;https://towardsdatascience.com/@ibexorigin?source=tag_archive---------5-----------------------
Is Strong Artificial Intelligence Possible? No;We are analyzing the most hype topic of the modern days, whichto our mind ;1;Denis Nushtaev;Cantor s Paradise;2020;10;1;Artificial-Intelligence;20;60;0;https://medium.com/cantors-paradise/why-strong-ai-is-not-possible-85e65a6c4f3e?source=tag_archive---------6-----------------------;https://medium.com/@nushtaev?source=tag_archive---------6-----------------------
5 Useful Image Manipulation Techniques Using Python OpenCV;Leverage the OpenCV-Python library to get;1;Yong Cui;Better Programming;2020;10;1;Artificial-Intelligence;8;245;0;https://medium.com/better-programming/5-useful-image-manipulation-techniques-using-python-opencv-505492d077ef?source=tag_archive---------7-----------------------;https://medium.com/@yong.cui01?source=tag_archive---------7-----------------------
5 Great Deep learning projects for beginners;Interesting ideas that help you master the subject;1;Chandrasekhar Gundluru;Scavs.ai;2020;10;1;Artificial-Intelligence;4;24;0;https://medium.com/scavs-ai/5-great-deep-learning-projects-for-beginners-93115027788?source=tag_archive---------8-----------------------;https://medium.com/@chandrasekhargundluru?source=tag_archive---------8-----------------------
How to Build a Mosaic Image Generator from Scratch;A step-by-step tutorial to build your own mosaic;1;Louis Owen;Data Driven Investor;2020;10;1;Artificial-Intelligence;7;359;0;https://medium.com/datadriveninvestor/how-to-build-your-mosaic-image-from-scratch-using-python-123e1934e977?source=tag_archive---------9-----------------------;https://medium.com/@louisowen6?source=tag_archive---------9-----------------------
