Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
NaN;Timeline for data science competency;1;Benjamin Obi Tayo Ph.D.;Towards AI;2020;11;1;Machine-Learning;6;773;0;https://medium.com/towards-artificial-intelligence/timeline-for-data-science-competence-1b724e7977e0?source=tag_archive---------0-----------------------;https://medium.com/@benjaminobi?source=tag_archive---------0-----------------------
Deep Learning in Java;Java, one of the most popular programming languages in enterprises, finally gets;1;Keerthan Vasist;Towards Data Science;2020;11;1;Machine-Learning;8;206;0;https://towardsdatascience.com/deep-learning-in-java-d9b54ae1423a?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@keerthanvasist?source=tag_archive---------1-----------------------
Python and Parquet Performance;In Pandas, PyArrow, fastparquet, AWS Data Wrangler, PySpark and Dask;1;Russell Jurney;Data Syndrome;2020;11;1;Machine-Learning;13;200;0;https://blog.datasyndrome.com/python-and-parquet-performance-e71da65269ce?source=tag_archive---------2-----------------------;https://blog.datasyndrome.com/@rjurney?source=tag_archive---------2-----------------------
The Power of Offline Reinforcement Learning;RL algorithms that could potentially scale to real-world problems;1;Or Rivlin;Towards Data Science;2020;11;1;Machine-Learning;13;147;0;https://towardsdatascience.com/the-power-of-offline-reinforcement-learning-5e3d3942421c?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@or-rivlin-mail?source=tag_archive---------3-----------------------
NaN;NaN;1;Shareef Shaik;Towards Data Science;2020;11;1;Machine-Learning;8;132;0;https://towardsdatascience.com/know-how-to-learn-machine-learning-algorithms-effectively-81766fe442e0?source=tag_archive---------4-----------------------;https://towardsdatascience.com/@shareefshaik1375?source=tag_archive---------4-----------------------
The Intuition Behind TransformersAttention is All You Need;NaN;1;Sam Palani;Towards Data Science;2020;11;1;Machine-Learning;8;105;0;https://towardsdatascience.com/the-intuition-behind-transformers-attention-is-all-you-need-393b5cfb4ada?source=tag_archive---------5-----------------------;https://towardsdatascience.com/@samx18?source=tag_archive---------5-----------------------
Choosing the correct error metric: MAPE vs. sMAPE;The pros and cons of two popular error metrics;1;Eryk Lewinson;Towards Data Science;2020;11;1;Machine-Learning;4;95;0;https://towardsdatascience.com/choosing-the-correct-error-metric-mape-vs-smape-5328dec53fac?source=tag_archive---------6-----------------------;https://towardsdatascience.com/@eryk.lewinson?source=tag_archive---------6-----------------------
Data Science in Production: Quickly Build Interactive UIs for your Data Science projects with Dash;NaN;1;Jay Kachhadia;Towards Data Science;2020;11;1;Machine-Learning;7;90;0;https://towardsdatascience.com/data-science-in-production-quickly-build-interactive-uis-for-your-data-science-projects-with-dash-6568e7df5528?source=tag_archive---------7-----------------------;https://towardsdatascience.com/@jkachhadia?source=tag_archive---------7-----------------------
A Cloud ML first: Googles AI Platform Deep Learning Container with NVIDIA Tensor Core A100 GPU;NaN;1;James Green;Towards Data Science;2020;11;1;Machine-Learning;7;114;0;https://towardsdatascience.com/a-cloud-ml-first-googles-ai-platform-deep-learning-container-with-nvidia-tensor-core-a100-gpu-53ab9d313d17?source=tag_archive---------8-----------------------;https://towardsdatascience.com/@google-cloud-data?source=tag_archive---------8-----------------------
Train your Machine Learning Model 150x Faster with cuML;And how Triple your Graphic Cards Memory;1;Khuyen Tran;Towards Data Science;2020;11;1;Machine-Learning;6;100;0;https://towardsdatascience.com/train-your-machine-learning-model-150x-faster-with-cuml-69d0768a047a?source=tag_archive---------9-----------------------;https://towardsdatascience.com/@khuyentran1476?source=tag_archive---------9-----------------------
6 Tips to Optimize an NLP Topic Model for Interpretability;With so much text outputted on digital;1;Nicha Ruchirawat;Towards Data Science;2020;11;1;Machine-Learning;9;58;0;https://towardsdatascience.com/6-tips-to-optimize-an-nlp-topic-model-for-interpretability-20742f3047e2?source=tag_archive---------10-----------------------;https://towardsdatascience.com/@nicharuch?source=tag_archive---------10-----------------------
NaN;NaN;1;Koen Peters;Towards Data Science;2020;11;1;Machine-Learning;12;75;0;https://towardsdatascience.com/random-forest-for-predictive-maintenance-of-turbofan-engines-5260597e7e8f?source=tag_archive---------11-----------------------;https://towardsdatascience.com/@kpeters_?source=tag_archive---------11-----------------------
