Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Making Python Programs Blazingly Fast;Lets look at the performance of our Python programs and see how;1;Martin Heinz;Towards Data Science;2020;1;1;data-science;5;3.4K;0;https://towardsdatascience.com/making-python-programs-blazingly-fast-c1cd79bd1b32?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@martin.heinz?source=tag_archive---------0-----------------------
How to be fancy with Python;Python tricks that will make your life easier;1;Dipam Vasani;Towards Data Science;2020;1;1;data-science;5;1.7K;0;https://towardsdatascience.com/how-to-be-fancy-with-python-8e4c53f47789?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@dipam44?source=tag_archive---------1-----------------------
How exactly do you find insights from qualitative user research?;Visualizing the synthesis processes;1;Taylor Nguyen;UX Collective;2020;1;1;data-science;4;905;0;https://uxdesign.cc/how-exactly-do-you-find-insights-from-qualitative-user-research-603bcafbc8b3?source=tag_archive---------2-----------------------;https://uxdesign.cc/@taylornguyen144?source=tag_archive---------2-----------------------
From scratch to search: playing with your data (Elasticsearch Ingest Pipelines);One Pipeline to rule;1;Stanislav Prihoda;Towards Data Science;2020;1;1;data-science;9;200;0;https://towardsdatascience.com/from-scratch-to-search-playing-with-your-data-elasticsearch-ingest-pipelines-6d054bf5d866?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@stanislavprihoda?source=tag_archive---------3-----------------------
The Waiting Paradox: An Intro to Probability Distributions;How much longer do I have to wait for my;1;Maike Elisa;Cantor s Paradise;2020;1;1;data-science;8;824;0;https://medium.com/cantors-paradise/the-waiting-paradox-an-intro-to-probability-distributions-97c0aedb8c1?source=tag_archive---------4-----------------------;https://medium.com/@maikeelisa?source=tag_archive---------4-----------------------
How to Write Scripts That Check Data Quality For You;Python scripts can check your laboratory data for;1;Peter Grant;Zero Equals False;2020;1;1;data-science;9;143;0;https://medium.com/zero-equals-false/how-to-write-scripts-that-check-data-quality-for-you-d8762dab34ca?source=tag_archive---------5-----------------------;https://medium.com/@petergrant-81989?source=tag_archive---------5-----------------------
Sentiment Analysis of Movie Reviews in NLTK Python;A gentle introduction to sentiment analysis;1;S Joel Franklin;NaN;2020;1;1;data-science;4;4;0;https://medium.com/@joel_34096/sentiment-analysis-of-movie-reviews-in-nltk-python-4af4b76a6f3?source=tag_archive---------6-----------------------;https://medium.com/@joel_34096?source=tag_archive---------6-----------------------
Gradient Based Optimizations: Jacobians, Jababians & Hessians;Sometimes we need to find all of the;1;Jake Batsuuri;The Startup;2020;1;1;data-science;7;237;0;https://medium.com/swlh/gradient-based-optimizations-jacobians-jababians-hessians-b7cbe62d662d?source=tag_archive---------7-----------------------;https://medium.com/@tbatsorry?source=tag_archive---------7-----------------------
Kaggle User Survey 2019;A dashboard made using R, Flexdashboard, and Highcharter library to analyze;1;Akshaj Verma;Towards Data Science;2020;1;1;data-science;6;73;0;https://towardsdatascience.com/kaggle-user-survey-2019-326e187ff207?source=tag_archive---------8-----------------------;https://towardsdatascience.com/@theairbend3r?source=tag_archive---------8-----------------------
[Time Series Forecast] Anomaly detection with Facebook Prophet;Anomaly detection with Prophet by;1;Paul Lo;Analytics Vidhya;2020;1;1;data-science;8;25;0;https://medium.com/analytics-vidhya/time-series-forecast-anomaly-detection-with-facebook-prophet-558136be4b8d?source=tag_archive---------9-----------------------;https://medium.com/@paullo0106?source=tag_archive---------9-----------------------
Decision Trees for Dummies;An Intuitive Approach;1;Pratish;Towards Data Science;2020;1;1;data-science;5;83;0;https://towardsdatascience.com/decision-trees-for-dummies-37dbee6c7169?source=tag_archive---------10-----------------------;https://towardsdatascience.com/@pratishgupta91?source=tag_archive---------10-----------------------
The Decade of Data Science;From Watson to the White House, a look at some of the most valuable;1;Matt Yancey;Towards Data Science;2020;1;1;data-science;6;108;0;https://towardsdatascience.com/the-decade-of-data-science-4c247aaafa2f?source=tag_archive---------11-----------------------;https://towardsdatascience.com/@mattyancey?source=tag_archive---------11-----------------------
