Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
NaN;Prepare yourself as;1;Eden Au;Towards Data Science;2020;1;1;data;4;1.8K;0;https://towardsdatascience.com/6-new-features-in-python-3-8-for-python-newbies-dc2e7b804acc?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@edenau?source=tag_archive---------0-----------------------
EXT4 Vs. NTFS;A  Partitioning battle;1;Emmett Boudreau;NaN;2020;1;1;data;5;18;0;https://medium.com/@emmettgb/ext4-vs-ntfs-6dbb79807006?source=tag_archive---------1-----------------------;https://medium.com/@emmettgb?source=tag_archive---------1-----------------------
F# Tree Diff Algorithm;Implementing an algorithm to find the difference between two trees;1;Luke Burgess-Yeo;F#ing About;2020;1;1;data;7;23;0;https://medium.com/f-ing-about/f-tree-diff-algorithm-5b7f9c85beac?source=tag_archive---------2-----------------------;https://medium.com/@lukeburgessyeo?source=tag_archive---------2-----------------------
NaN;NaN;1;Daniel McNichol;Towards Data Science;2020;1;1;data;23;16;0;https://towardsdatascience.com/from-information-to-action-with-quantitative-decision-science-9752b6c969d5?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@dnlmc?source=tag_archive---------3-----------------------
Big Tech is coming for us. But we can stop it.;Privacy in a surveilled datafied world.;1;Sneha Somaya;Towards Data Science;2020;1;1;data;5;24;0;https://towardsdatascience.com/big-tech-is-coming-for-us-but-we-can-stop-it-a61ba00101e9?source=tag_archive---------4-----------------------;https://towardsdatascience.com/@snehas_9179?source=tag_archive---------4-----------------------
I miss you but I hate you, Facebook.;Id like to be able to say that my transition into the Facebook;1;Alicja Pawluczuk;NaN;2020;1;1;data;6;0;0;https://medium.com/@alicjapawluczuk/i-miss-you-but-i-hate-you-facebook-dd26b11949a0?source=tag_archive---------5-----------------------;https://medium.com/@alicjapawluczuk?source=tag_archive---------5-----------------------
World Ethical Data Forum: Privacy Policy;Designed and implemented by WEDFs Data Protection Officer, Sander Venema, an experienced;1;World Ethical Data Forum;NaN;2020;1;1;data;4;150;0;https://medium.com/@wedf/world-ethical-data-forum-privacy-policy-5167d57473a8?source=tag_archive---------6-----------------------;https://medium.com/@wedf?source=tag_archive---------6-----------------------
NaN;NaN;1;Jose Antonio Ribeiro NetoZezinho);XNEWDATA;2020;1;1;data;4;1;0;https://medium.com/xnewdata/the-5-vs-of-big-data-part-i-aa9b207f35cf?source=tag_archive---------7-----------------------;https://medium.com/@joseantonio11?source=tag_archive---------7-----------------------
TensorFlow Estimator API Overview;NaN;1;Eric Lee;NaN;2020;1;1;data;3;4;0;https://medium.com/@ericlee_99995/tensorflow-estimator-api-overview-6cc93e74a549?source=tag_archive---------8-----------------------;https://medium.com/@ericlee_99995?source=tag_archive---------8-----------------------
Basic Understanding of ETL;To understand the concept of ETL(Extract,Transformation and Load),we have to understand some basic concepts of;1;Anuj Sharma;Analytics Vidhya;2020;1;1;data;2;0;0;https://medium.com/analytics-vidhya/basic-understanding-of-etl-4ea1daa4868?source=tag_archive---------9-----------------------;https://medium.com/@mlanujsharma?source=tag_archive---------9-----------------------
