Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
How to go from a Python newbie to a Google Certified TensorFlow Developer under two months;NaN;1;Grady Matthias Oktavian;Towards Data Science;2020;9;1;deep-learning;11;2.1K;0;https://towardsdatascience.com/how-to-go-from-a-python-newbie-to-a-google-certified-tensorflow-developer-under-two-months-3d1535432284?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@radvian?source=tag_archive---------0-----------------------
6 Different Ways of Implementing VAE with TensorFlow 2 and TensorFlow Probability;NaN;1;Xizewen Han;Towards Data Science;2020;9;1;deep-learning;25;176;0;https://towardsdatascience.com/6-different-ways-of-implementing-vae-with-tensorflow-2-and-tensorflow-probability-9fe34a8ab981?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@ejhan?source=tag_archive---------1-----------------------
Pruning Neural Networks;Neural networks can be made smaller and faster by removing connections or;1;Rohit Bandaru;Towards Data Science;2020;9;1;deep-learning;5;38;0;https://towardsdatascience.com/pruning-neural-networks-1bb3ab5791f9?source=tag_archive---------2-----------------------;https://towardsdatascience.com/@roh.bandaru?source=tag_archive---------2-----------------------
A Comprehensive Guide to Working With Recurrent Neural Networks in Keras;RNNs, LSTMs, GRUs, Embeddings;1;Andre Ye;Towards Data Science;2020;9;1;deep-learning;7;84;0;https://towardsdatascience.com/a-comprehensive-guide-to-working-with-recurrent-neural-networks-in-keras-f3b2d5e2fa7f?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@andre-ye?source=tag_archive---------3-----------------------
YOLO2; YOLOv1  YOLOv2 YOLOv3;1; ; ;2020;9;1;deep-learning;9;210;0;https://medium.com/ching-i/yolo%E6%BC%94%E9%80%B2-2-85ee99d114a1?source=tag_archive---------4-----------------------;https://medium.com/@chingi071?source=tag_archive---------4-----------------------
3 Deep Learning Algorithms in under 5 minutesPart 2 (Deep Sequential Models);NaN;1;Thushan Ganegedara;Towards Data Science;2020;9;1;deep-learning;7;39;0;https://towardsdatascience.com/3-deep-learning-algorithms-in-under-5-minutes-part-2-deep-sequential-models-b84e3a29d9a8?source=tag_archive---------5-----------------------;https://towardsdatascience.com/@thushv89?source=tag_archive---------5-----------------------
ResNet: A Simple Understanding of the Residual Networks;A comprehensive guide to understanding the beginning of ResNets;1;Taha Shahid;The Startup;2020;9;1;deep-learning;6;194;0;https://medium.com/swlh/resnet-a-simple-understanding-of-the-residual-networks-bfd8a1b4a447?source=tag_archive---------6-----------------------;https://medium.com/@ta.22.ha.18.s?source=tag_archive---------6-----------------------
Uber M3 is an Open Source, Large-Scale Time Series Metrics Platform;The platform is powering time;1;Jesus Rodriguez;DataSeries;2020;9;1;deep-learning;6;178;0;https://medium.com/dataseries/uber-m3-is-an-open-source-large-scaltime-series-metrics-platform-d583aef37b07?source=tag_archive---------7-----------------------;https://medium.com/@jrodthoughts?source=tag_archive---------7-----------------------
Architecture & Implementation of LeNet from Scratch in Pytorch;Recreating the oldest Neural Network;1;Balakrishnakumar V;Data Driven Investor;2020;9;1;deep-learning;4;43;0;https://medium.com/datadriveninvestor/architecture-implementation-of-lenet-from-scratch-in-pytorch-709cc38c00a9?source=tag_archive---------8-----------------------;https://medium.com/@balakrishnakumar-v?source=tag_archive---------8-----------------------
NaN;NaN;1;Sharon Lim;Towards AI;2020;9;1;deep-learning;7;158;0;https://medium.com/towards-artificial-intelligence/flask-web-application-with-python-4a290c952ba2?source=tag_archive---------9-----------------------;https://medium.com/@sharonlimty?source=tag_archive---------9-----------------------
  ? :  Deep learning (Thai Food Classification);NaN;1;Kan Dokmaithong;DSE_19;2020;9;1;deep-learning;4;22;0;https://medium.com/dse-19/%E0%B9%80%E0%B8%AD%E0%B9%8A%E0%B8%B0-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%88%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%AD%E0%B8%B0%E0%B9%84%E0%B8%A3%E0%B8%99%E0%B8%B0-%E0%B8%97%E0%B8%B3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2-deep-learning-thai-food-classification-15d20b6ada75?source=tag_archive---------10-----------------------;https://medium.com/@Kan.syd?source=tag_archive---------10-----------------------
Transfer Learning of CNN Model Using Google Colabpart I;NaN;1;NirBarazida;NaN;2020;9;1;deep-learning;5;555;0;https://medium.com/@nirbarazida/transfer-learning-of-cnn-model-using-google-colab-part-i-62223fbc8bb8?source=tag_archive---------11-----------------------;https://medium.com/@nirbarazida?source=tag_archive---------11-----------------------
Adversarially-Trained Classifiers for Generalizable Real World Applications;CS282A Designing and Understanding Neural Networks at UC Berkeley;0;Alan Chen;Towards Data Science;2020;9;1;deep-learning;8;12;0;https://towardsdatascience.com/adversarially-trained-classifiers-for-generalizable-real-world-applications-92dbcb24f7f3?source=tag_archive---------12-----------------------;https://towardsdatascience.com/@shichuchen0114?source=tag_archive---------12-----------------------
Facial Expression Recognition with PyTorch using 4 Differently Approached Models;Introduction: An;1;Himani Gulati;Jovian;2020;9;1;deep-learning;5;97;0;https://medium.com/jovianml/facial-expression-recognition-with-pytorch-using-4-differently-approached-models-ee5c35110193?source=tag_archive---------13-----------------------;https://medium.com/@himani-gulati?source=tag_archive---------13-----------------------
Transfer Learning of CNN Model Using Google Colabpart II;NaN;1;NirBarazida;NaN;2020;9;1;deep-learning;4;403;0;https://medium.com/@nirbarazida/transfer-learning-of-cnn-model-using-google-colab-part-ii-da4eff2d8daf?source=tag_archive---------14-----------------------;https://medium.com/@nirbarazida?source=tag_archive---------14-----------------------
Instagram filters in python;A weekend pytorch project to recreate the iconic filters from the a app.;1;Travis Hoppe;Analytics Vidhya;2020;9;1;deep-learning;5;13;0;https://medium.com/analytics-vidhya/instagram-filters-in-python-acc1ee7e67bc?source=tag_archive---------15-----------------------;https://medium.com/@travis.hoppe?source=tag_archive---------15-----------------------
Deep Dive on YOLOv2 and YOLO9000;Better, Faster, and Stronger versions of the YOLO object detection;1;Anamitra Musib;Analytics Vidhya;2020;9;1;deep-learning;17;8;0;https://medium.com/analytics-vidhya/deep-dive-on-yolov2-and-yolo9000-2eba212dcf8a?source=tag_archive---------16-----------------------;https://medium.com/@anamitramusib?source=tag_archive---------16-----------------------
